0	_	θˤ	ðˤ
0	_	ɬˤ	ɮˤ
1	_	θ’	ð’
1	_	ɬ’	ɮ’
2	#_	f	v
2	#_	θ	ð
2	#_	s	z
3	#_	f	v 
3	#_	s ̺	z ̺̊
4	#_	f 	v 
4	#_	θ	d
5	#_	θ	ð̥
6	#_	s	z
8	#_	f	v
8	#_	s ̺	z ̺
9	#_	s̪	z̪
12	V_V	ɸ	β
12	V_V	θ	ð
12	V_V	x	ɣ
13	V_	ɸ	β
13	V_	θ	ð
13	V_	s ̺	z
13	V_	̺ x	ɣ
18	V_V	s	z
18	V_V	ṣ	ẓ
18	V_V	ʆ	ʓ
19	V_V	s	z
19	V_V	ṣ	ẓ
19	V_V	ɕ	ʑ
20	V_V	s	z
20	V_V	ṣ	ẓ
20	V_V	ɕ	ʑ
21	V_V	s	z
21	V_V	ṣ	ẓ
21	V_V	ɕ	ʑ
28	V_V	f	v
29	V_V	f	v
30	V_	ɸ	β
31	V_	θ	ð
32	V_V	s	z
32	V_V	ʃ	ʒ
35	V_V	s	z
38	V_V	s	z
39	V_V	s	z
40	V_V	s	z
41	V_	s	z
42	V_	s	z
43	V_V	ʃ	ʒ
46	V_V	ṣ	ẓ
47	V_V	ṣ	ẓ
48	V_	x	ɣ
50	V_	x	ɣ
59	V_V	f	β̥
59	V_V	s	z
59	V_V	̊ ç	ʝ
59	V_V	̊ x	ɣ̊
61	V_#	f	v
61	V_#	s	z
62	_#	θ	ð
63	V_#	θ	ð
64	V_#	s	r
65	V_#	s	r
66	V_#	s	z̊
67	V_#	s	z
68	V_#	d	
91	_	p	b̥
91	_	t	d̥
91	_	ts	dz
91	_	ṯʆ	ḏʑ
91	_	k	g
92	_	ts	dz
93	_	ṯɕ	ḏʑ
95	_	tˤ	dˤ
96	_	q	ɢ
97	_	t’	d’
97	_	k’	g’
98	_	t’	d
99	_	k’	g
100	_	T’ 	D
101	#_	t	d̥
106	#_	p	b̥
106	#_	t	d̥
106	#_	k	ɡ̊
107	#_	ts	dz
130	V_V	p	b
130	V_V	t	d
130	V_V	ṭ	ḍ
130	V_V	ṯʆ	ḏʓ
130	V_V	k	g
131	V_V	p	b
131	V_V	t	d
131	V_V	ṭ	ḍ
131	V_V	ṯʆ	ḏʓ
131	V_V	k	g
134	V_	p	b
134	V_	t	d
134	V_	ṭṣ	ḍẓ
134	V_	k	g
136	V_V	p	b
136	V_V	t	d
136	V_V	k	g
137	V_	p	b
137	V_	t	d
137	V_	k	g
138	V_V	p	b
138	V_V	t	d
138	V_V	k	g
139	V_#	p	b
139	V_#	t	d
139	V_#	k	g
140	V_V	p	b
140	V_V	t	d
140	V_V	ṯʆ	ḏʓ
140	V_V	ṭṣ	ḍẓ
140	V_V	k	g
141	V_	p	b
141	V_	t	d
142	V_	p	b
142	V_	t	d
143	V_	p	b
143	V_	t	d
143	V_	k	g
144	V_	p	b
144	V_	t	d
144	V_	ṯʃ	ḏʒ
146	V_V	p	b
146	V_V	t	d
149	V_V	p	b
149	V_V	t	d
149	V_V	ṭ	ḍ
149	V_V	k	g
154	V_	p	b
154	V_	t	d
154	V_	k	g
156	V_V	p	b
158	V_V	ts	dz
158	V_V	ṯʃ	ḏʒ
160	V_V	ṭṣ	ḍẓ
163	V_	kʷ	gʷ
174	V_#	t	d̥
175	V_#	t	d
203	V_V	pʰ	b̤ʱ
203	V_V	tʰ	d̤ʱ
203	V_V	ṭʰ	ḍ̈ʱ
203	V_V	kʰ	g̈ʱ
238	V_V	ɬ ̣̣	l
239	_	l ̥	l
240	_	ɬ	l
240	_	ɬʲ	ḻʲ
241	#_	m̥	m
241	#_	l ̥	l
241	#_	r ̥	r
242	_	n̥	n
242	_	l ̥	l
242	_	r ̥	r
250	_	b	β
250	_	d	ð
250	_	g	ɣ
251	_	b	v
251	_	d	ð
251	_	g	ɣ
252	_V	b	β
252	_V	d	ð
253	_	b	β
254	_	b	v
255	_	g	ɣ
256	#_	g	ɣ
258	_	g	ɣ
259	_	g	ɣ
260	_	g	ɣ
264	_	g	ɣ
265	_	ɟ	ʝ
266	_	ɟ	ʝ
268	_	ɟ	ʝ
272	_	p	ɸ
272	_	k	x
273	_	p	f
274	_	p	f
276	#_	p	f
277	_	p	ɸ
278	#_	p	f
279	#_	p	f
280	#_	p	xʷ
281	_	p	ɸ
282	_	k	x
283	_	k	x
298	V_	b	β
298	V_	d	ð
298	V_	g	ɣ
300	V_V	b	β
300	V_V	d	ð
300	V_V	g	ɣ 
301	V_V	b	β
301	V_V	d	ð
301	V_V	g	ɣ
302	V_V	b	β
302	V_V	d	ð
302	V_V	ḍ	ɾ̣
302	V_V	g	ɣ
306	V_	b	β
306	V_	d	ð
306	V_	g	ɣ
307	V_	b	v
307	V_	d	ð
307	V_	g	ɣ
309	V_	b	β
309	V_	d	ð
309	V_	g	ɣ
310	V_	b	β
310	V_	d	ð
310	V_	g	ɣ
311	V_V	b	β
311	V_V	d	ð
311	V_V	g	ɣ
313	V_	b	β
313	V_	d	ð
313	V_	g	ɣ
314	V_	b	v
314	V_	d	ð
314	V_	g	ɣ
315	V_V	b	β
315	V_V	d	ð
315	V_V	g	ɣ
318	V_V	b	β
318	V_V	d	ð
319	V_	b	β
319	V_	ɡ	ɣ
320	V_V	b̥	β
320	V_V	ɡ̊	ɣ
321	V_V	d	ð
321	V_V	g	ɣ
322	V_V	d	ð
322	V_V	g	ɣ 
323	V_	d	ð
323	V_	g	ɣ
327	V_	b	β
329	V_V	b	v
330	V_	b	v
331	V_	b	β
332	V_V	b	β
334	V_V	b̥	β
337	V_V	d	ð
338	V_V	d	ð
339	V_V	d	ð
340	V_V	d	ð
341	V_V	d̥	ð
344	V_V	d	ð
345	V_V	d	ɹ
346	V_V	d	ɹ ̝
349	V_V	g	ɣ
