ID	Protolanguage	Reconstruction	Language	Form	Gloss
/reconstructions/489	PS	*ˀab- - father	Akkadian	abu	father
/reconstructions/489	PS	*ˀab- - father	Ugaritic	ˀab	father
/reconstructions/489	PS	*ˀab- - father	Hebrew	ˀāb	father
/reconstructions/489	PS	*ˀab- - father	Syriac	ˀabbā	father
/reconstructions/489	PS	*ˀab- - father	Arabic	ˀab-	father
/reconstructions/489	PS	*ˀab- - father	Sabaic	ˀb	father
/reconstructions/489	PS	*ˀab- - father	Minaean	ˀb	father
/reconstructions/489	PS	*ˀab- - father	Qatabanian	ˀb	father
/reconstructions/489	PS	*ˀab- - father	Geez	ˀab	father
/reconstructions/489	PS	*ˀab- - father	Tigre	ˀab	father
/reconstructions/489	PS	*ˀab- - father	Tigrinya	ˀabbo	father
/reconstructions/489	PS	*ˀab- - father	Amharic	abbat	father
/reconstructions/489	PS	*ˀab- - father	Argobba	aw, abba	father
/reconstructions/489	PS	*ˀab- - father	Harari	āw	father
/reconstructions/489	PS	*ˀab- - father	Selti	abot	father
/reconstructions/489	PS	*ˀab- - father	Wolane	abbä, aḇot	father
/reconstructions/489	PS	*ˀab- - father	Zway	ābu	father
/reconstructions/489	PS	*ˀab- - father	Soqotri	éˀeb, eb	big (m.)
/reconstructions/359	PS	*ˀabbVk- - kind of bird	Syriac	ˀabakkā, ˀābkā, bakkā	rooster, cock
/reconstructions/359	PS	*ˀabbVk- - kind of bird	Tigre	ˀabbəkiki	a small bird of light-yellow colour (probably a sort of lapwing)
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Akkadian	ibbiltu	a bird
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Arabic	ˀabābīl-	(pl.) nom d'oiseaux fabuleux (name of fabulous birds)
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Geez	bābil	name of a fictious bird
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Tigre	ˀambäla	Webervogel
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Tigre	nab(ə)l, nabil (pl. ˀanabəl)	a bird of prey
/reconstructions/361	PS	*ˀVbbVl- - kind of bird	Amharic	amballa	a white aquatic bird which travels in flocks
