Glottocode	Concepticon_Gloss	cons
bada1257	I	# n
bada1257	MOUNTAIN	# m l
bada1257	STONE	# k l
bada1257	EAT	# t m b
bada1257	BARK	# p ʈ
bada1257	FEATHER	# ɾ k
bada1257	SMALL	# k ʈ ʈ $
bada1257	EYE	# k ɳ
bada1257	LONG	t
bada1257	GOOD	ɭ j d
bada1257	ASH	# k l b d
bada1257	DOG	# n
bada1257	SMALL	# k n d
bada1257	ROOT	# p ɾ
bada1257	MANY	p ɾ
bada1257	TWO	ɾ ɖ
bada1257	LEAF	l
bada1257	CLAW	g l
bada1257	TONGUE	# n l n g
bada1257	STAR	# p n d m n
bada1257	MOUTH	# p
bada1257	ALL	l
bada1257	HEAR	# k p
bada1257	FISH	# m n
bada1257	BLOOD	# n t ɾ
bada1257	EGG	# m ʈ
bada1257	ROAD	# t ɾ
bada1257	SEE	# n ɖ
bada1257	BELLY	ʈ
bada1257	FLY (MOVE THROUGH AIR)	# p ɾ p
bada1257	SMOKE (EXHAUST)	# h g
bada1257	SLEEP	ɾ g d
bada1257	WE	# n n g
bada1257	NEW	s t
bada1257	BONE	l
bada1257	NAME	s ɾ
bada1257	SEED	# p t
bada1257	MAN	# k n ɖ m g
bada1257	TOOTH	# h l
bada1257	BLOOD	# r t
bada1257	BURN	# k tʃ k d
bada1257	RED	# k p
bada1257	CLOUD	# m n dʒ
bada1257	HAND	# k j $
bada1257	BLACK	# k p
bada1257	NOT	# k l
bada1257	COME	# p p
bada1257	HORN (ANATOMY)	# k m b
bada1257	DRINK	# k ɖ p
bada1257	YELLOW	# m n dʒ
bada1257	BREAST	# m ɾ
bada1257	STAR	# n tʃ t ɾ
bada1257	BIG	# d ɖ d
bada1257	FIRE	# k tʃ
bada1257	HEAD	# m n ɖ
bada1257	KILL	# k p
bada1257	ONE	n d
bada1257	GIVE	# k ɖ
bada1257	NECK	# k t
bada1257	THAT	d
bada1257	SWIM	# n n d
bada1257	SIT	# k ɭ ʋ
bada1257	WOMAN	m t
bada1257	WALK	# n ɖ ʋ d
bada1257	NOSE	# m k
bada1257	DRY	ɳ k l d
bada1257	TREE	# m ɾ
bada1257	SAY	g ʋ
bada1257	THOU	# n
bada1257	PERSON	# k n ɖ
bada1257	DIE	# s ʋ d
bada1257	COLD	# k ɾ ʋ
bada1257	THIS	d
bada1257	WATER	# n ɾ
bada1257	FULL	# tʰ m b
bada1257	KNEE	# m ʈ
bada1257	MOON	# t n g ʋ
bada1257	BITE	# k tʃ
bada1257	EAR	# k ʋ
bada1257	WHAT	n
bada1257	NIGHT	ɾ
bada1257	FOOT	n g l
bada1257	WHO	# t ɾ
bada1257	TAIL	# p l
bada1257	SAND	# p k
bada1257	STAND	# n p
bada1257	WHITE	# ʋ ɭ
bada1257	GREEN	# p tʃ
bada1257	SKIN	# t l
bada1257	SUN	t
bada1257	LIE (REST)	# h ɖ ʋ
bett1235	MOUTH	# b j
bett1235	STAR	# m n
bett1235	HORN (ANATOMY)	# k m b
bett1235	STAND	ɭ $
