Glottocode	Concepticon_Gloss	cons
nucl1235	I	# j s $
nucl1235	SKIN	# m ʃ k $
nucl1235	FIRE	# h ɾ $
nucl1235	FIRE	# k ɾ k $
nucl1235	MOUNTAIN	# l r $
nucl1235	BIRD	# tʰ r tʃʰ n $
nucl1235	SWIM	# l ʁ l $
nucl1235	LIE (REST)	# p r k l $
nucl1235	MAN	# t ʁ m ɾ tʰ $
nucl1235	ONE	# m k $
nucl1235	ALL	# b l ɾ $
nucl1235	BURN	# v r v l $
nucl1235	FISH	# dz k $
nucl1235	BURN	ɾ v l $
nucl1235	EAR	k n dʒ $
nucl1235	SLEEP	# kʰ n l $
nucl1235	STONE	# kʰ ɾ $
nucl1235	SEED	# s ɾ m $
nucl1235	NEW	# n ɾ $
nucl1235	TAIL	# p tʃʰ $
nucl1235	WHITE	# s p t k $
nucl1235	MANY	# ʃ t $
nucl1235	RAINING OR RAIN	n dz ɾ v $
nucl1235	FOOT	# v t kʰ $
nucl1235	DIE	# m r n l $
nucl1235	SMALL	# pʰ kʰ ɾ $
nucl1235	THAT	n $
nucl1235	SEE	# t s n l $
nucl1235	KNEE	# ts n k $
nucl1235	ROAD	# tʃ n p ɾ $
nucl1235	LIVER	# l r tʰ $
nucl1235	SMOKE (EXHAUST)	# ts χ $
nucl1235	WE	# m n kʰ $
nucl1235	TOOTH	t m $
nucl1235	EAT	t l $
nucl1235	TONGUE	# l z
nucl1235	WHO	v $
nucl1235	HAND	# dz r kʰ $
nucl1235	RED	# k ɾ m ɾ $
nucl1235	WALK	# kʰ l l $
nucl1235	BONE	# v s k ɾ $
nucl1235	MOON	m s $
nucl1235	LEAF	# t ɾ v $
nucl1235	MOON	# l s n $
nucl1235	EYE	tʃʰ kʰ $
nucl1235	SAND	v z $
nucl1235	COLD	# tsʰ ɾ t $
nucl1235	EGG	# dz
nucl1235	HEART	# s ɾ t $
nucl1235	SAY	s l $
nucl1235	HEAD	# g l χ $
nucl1235	THIS	s $
nucl1235	BIG	# m ts $
nucl1235	BLACK	# s v $
nucl1235	DOG	# ʃ n $
nucl1235	COME	# g l $
nucl1235	BITE	# k ts l $
nucl1235	TREE	# ts r $
nucl1235	WATER	# dʒ ɾ $
nucl1235	MOUNTAIN	# s ɾ $
nucl1235	NOT	# v tʃʰ $
nucl1235	FEATHER	# pʰ t ɾ $
nucl1235	NAME	n n $
nucl1235	HEAR	# l s l $
nucl1235	HORN (ANATOMY)	# p z $
nucl1235	WOMAN	# k n $
nucl1235	STAND	# k n g n l $
nucl1235	GREEN	# k n tʃʰ $
nucl1235	KILL	# s p n l $
nucl1235	NECK	# v z $
nucl1235	FAT (ORGANIC SUBSTANCE)	# tʃ ɾ p $
nucl1235	FULL	# l
nucl1235	MOUTH	# b ɾ n $
nucl1235	HAIR	# m z $
nucl1235	TWO	# j ɾ k
nucl1235	ASH	# m χ ɾ $
nucl1235	ROAD	# tʃ m pʰ
nucl1235	SUN	ɾ v $
nucl1235	GIVE	# t l $
nucl1235	NIGHT	# g ʃ ɾ $
nucl1235	BLOOD	ɾ n $
nucl1235	STAR	s t ʁ $
nucl1235	LONG	# j ɾ k ɾ $
nucl1235	NOSE	# kʰ tʰ $
nucl1235	GOOD	# l v $
nucl1235	DRINK	# χ m l $
nucl1235	DRY	# tʃʰ ɾ $
nucl1235	WHAT	n tʃʰ $
nucl1235	BARK	# k ʁ v $
nucl1235	THOU	# d
nucl1235	YELLOW	# d ʁ n $
nucl1235	SIT	# n s t l $
nucl1235	HORN (ANATOMY)	# j ʁ dʒ ɾ $
nucl1235	BREAST	# k ɾ ts kʰ $
nucl1235	FLY (MOVE THROUGH AIR)	# tʰ r tʃʰ l $
nucl1235	SKIN	# k ʃ
nucl1235	LOUSE	# v tʃʰ l $
nucl1235	CLOUD	m p $
nucl1235	EARTH (SOIL)	# h ʁ $
mait1250	BITE	# k ʈ b $
mait1250	SEED	# b j
mait1250	SEE	# d kʰ b $
mait1250	WHO	# k
mait1250	SLEEP	# s ʈ b $
mait1250	EYE	kʰ $
mait1250	BIG	# n m h r $
mait1250	I	# m
mait1250	HAND	# h tʰ $
mait1250	TONGUE	# j
mait1250	SUN	# s r j $
mait1250	DOG	# k k r $
mait1250	NOT	# n
mait1250	MANY	# b h t $
mait1250	YELLOW	# p j r $
mait1250	HORN (ANATOMY)	# s ŋ gʱ $
mait1250	GOOD	# b r h
mait1250	NEW	# n b $
mait1250	COLD	# ʈʰ n dʱ
mait1250	SAY	# k h b $
mait1250	LEAF	# p t $
mait1250	PERSON	# b k t
mait1250	MOON	# cʰ n d r m
mait1250	MOUTH	# m h $
mait1250	NOSE	# n k $
mait1250	COME	b $
mait1250	SWIM	# h l b $
mait1250	LONG	# l m b
mait1250	ALL	# s b $
mait1250	TWO	# d
mait1250	EARTH (SOIL)	# p r tʰ b
mait1250	SMALL	# cʰ ʈ $
mait1250	NIGHT	# r t $
mait1250	TREE	# g cʰ $
mait1250	GOOD	# n k $
mait1250	TOOTH	# d t $
mait1250	FAT (ORGANIC SUBSTANCE)	# m ʈ $
mait1250	THIS	
mait1250	WE	# h m s b $
mait1250	STAR	# ʈ r
mait1250	THAT	
mait1250	EAR	# k n $
mait1250	LIE (REST)	# s t b $
mait1250	FIRE	g $
mait1250	FLY (MOVE THROUGH AIR)	r b $
mait1250	I	# h m $
mait1250	DRY	# s kʰ l $
mait1250	MAN	d m
mait1250	WHITE	# d b l
mait1250	MOUNTAIN	# p h r $
mait1250	ONE	k $
mait1250	GREEN	# h r j r $
mait1250	RAINING OR RAIN	# b r s
mait1250	WALK	# j b $
mait1250	WALK	# c l b $
mait1250	ROUND	# g l $
mait1250	SAND	# b l $
mait1250	PERSON	d m
mait1250	WATER	# p n $
mait1250	LIVER	# k r j $
mait1250	BLOOD	# s n t $
mait1250	FAT (ORGANIC SUBSTANCE)	# t l $
mait1250	BLACK	# k r
mait1250	LOUSE	# ɖʱ l $
mait1250	NECK	# g r d n $
mait1250	ROAD	# s r k $
mait1250	DIE	# m r b $
mait1250	CLOUD	# m gʱ $
mait1250	WALK	# ʈ h l b $
mait1250	GIVE	# d b $
mait1250	KNEE	# ʈʰ h n $
mait1250	DRINK	# p b $
mait1250	RED	# l l $
mait1250	ASH	# cʰ r $
mait1250	SLEEP	# n n d + p r b $
mait1250	HEAD	# m tʰ $
mait1250	WOMAN	s t r g n $
mait1250	FULL	# bʱ r l $
mait1250	HEART	# h r d
mait1250	EARTH (SOIL)	# s n s r $
mait1250	BONE	# h ɖ
mait1250	FOOT	# p j r $
mait1250	ROOT	# j r $
mait1250	HEAR	# s n b $
mait1250	NAME	# n m $
mait1250	SKIN	# c m r
mait1250	SIT	# b s b $
mait1250	STONE	# p tʰ r $
mait1250	FISH	# m cʰ $
mait1250	SMOKE (EXHAUST)	# dʱ
mait1250	BARK	# cʰ l $
mait1250	BURN	# j r b $
mait1250	EAT	# kʰ b $
mait1250	WHITE	j r $
mait1250	STAND	# ʈʰ r h + h b $
mait1250	BREAST	# c c
mait1250	BELLY	# p ʈ $
mait1250	EGG	n ɖ
mait1250	KILL	# m r b $
mait1250	BIRD	# c r
mait1250	ROAD	# r s t
mait1250	TAIL	# n ŋ g r $
mait1250	HAIR	# k s $
mait1250	FEATHER	# p kʰ $
mait1250	WHAT	# k
bret1244	MAN	# g w s $
bret1244	BARK	# r s k $
bret1244	WALK	# k r z t $
bret1244	EAR	# s k r n $
bret1244	SMALL	# b n $
bret1244	SAND	# t r s $
bret1244	THAT	n s
bret1244	BIRD	w n $
bret1244	TREE	# g w s $
bret1244	ROAD	# h n d $
bret1244	ROOT	# g w r z j n $
bret1244	BITE	# d n t
bret1244	HAND	# d ʁ n $
bret1244	BLACK	# d
bret1244	NAME	n
bret1244	BELLY	# k f $
bret1244	BITE	# k r g n $
bret1244	PERSON	# d n $
bret1244	EARTH (SOIL)	# d ʁ $
bret1244	SKIN	# k ʁ χ n $
bret1244	SWIM	# n j l $
bret1244	GOOD	# m d $
bret1244	TAIL	# l s t $
bret1244	NOT	# n k d $
bret1244	LIVER	v
bret1244	WHO	# p v $
bret1244	SLEEP	# k s k t $
bret1244	CLOUD	# k m l $
bret1244	SUN	w l $
bret1244	ASH	# l d
bret1244	HEART	# k l n $
bret1244	FEATHER	# p l n $
bret1244	DOG	# k
bret1244	BIG	# b ʁ z $
bret1244	FOOT	# t r w t $
bret1244	DRY	# s x $
bret1244	BONE	s k r n $
bret1244	MANY	# k l s $
bret1244	NIGHT	# n s $
bret1244	GREEN	# g l s $
bret1244	SMOKE (EXHAUST)	# m g t $
bret1244	THOU	# t
bret1244	I	# m
bret1244	FISH	# p s k $
bret1244	BURN	# d v
bret1244	COME	# d n t $
bret1244	WATER	# d ʁ $
bret1244	LOUSE	# l w $
bret1244	FLY (MOVE THROUGH AIR)	# n ʒ l $
bret1244	LONG	r $
bret1244	TWO	# d w $
bret1244	EAT	# d b ʁ
bret1244	MOON	# l w r $
bret1244	KNEE	# g l n $
bret1244	LIE (REST)	# g r v s $
bret1244	FIRE	# t n $
bret1244	TONGUE	# t w t $
bret1244	NOSE	# f r
bret1244	WALK	# b l
bret1244	SAY	# l v r t $
bret1244	STONE	# m n $
bret1244	WHITE	# g w n $
bret1244	FAT (ORGANIC SUBSTANCE)	# d r z n
bret1244	ROUND	# k r n $
bret1244	EGG	# v
bret1244	GREEN	# g w r $
bret1244	MOUNTAIN	# m n s $
bret1244	SIT	z z
bret1244	LEAF	# d l j n $
bret1244	ALL	l $
bret1244	THIS	n m
bret1244	STAR	# s t r t $
bret1244	SEED	t $
bret1244	RAINING OR RAIN	# g l w $
bret1244	EYE	# l g t $
bret1244	GIVE	# r
bret1244	TOOTH	# d n t $
bret1244	BIG	# m ʁ $
bret1244	SEE	# g w l t $
bret1244	FULL	# l n $
bret1244	WOMAN	# m w s $
bret1244	HAIR	# b l w $
bret1244	COLD	# j n $
bret1244	RED	# r s $
bret1244	DIE	# m r v l $
bret1244	BLOOD	# g w t $
bret1244	HEAD	# p n $
bret1244	HEAR	# k l v t $
bret1244	NEW	# n v
bret1244	YELLOW	# m l n $
bret1244	NECK	# g z k $
bret1244	BIRD	# l b s $
bret1244	KILL	# l z
bret1244	DRINK	v
bret1244	WHAT	# p t ʁ
bret1244	WE	# n
bret1244	MOUTH	# g n
stan1289	ROAD	# k m
stan1289	MANY	# m
stan1289	FOOT	# p w $
stan1289	MOUNTAIN	# m n $
stan1289	FAT (ORGANIC SUBSTANCE)	# g r s $
stan1289	COLD	# f ɾ t $
stan1289	WHO	# k
stan1289	PERSON	# p ɾ s n
stan1289	HAIR	# k β ʎ $
stan1289	BARK	s k r s
stan1289	KILL	# m t
stan1289	RED	# b ɾ m ʎ $
stan1289	SEE	# b w ɾ
stan1289	SWIM	# n ð
stan1289	THAT	k ʎ $
stan1289	COME	# b n
stan1289	FAT (ORGANIC SUBSTANCE)	# g r ʃ $
stan1289	BIG	# g r n $
stan1289	KNEE	# ʒ n ʎ $
stan1289	ALL	# t t $
stan1289	FEATHER	# p l m
stan1289	LIE (REST)	# r p z
stan1289	BITE	# m s ɣ
stan1289	ONE	n $
