Glottocode	Concepticon_Gloss	cons
acha1249	KNEE	# tɕʰ + nʲ ʔ
acha1249	LEAF	 + x ʐ ʔ
acha1249	BREAST	# n + ʈʂ
acha1249	MOUNTAIN	# p m
acha1249	FISH	# ŋ + ʂ
acha1249	BLACK	# l k
acha1249	TAIL	# tɕʰ + nʲ ŋ
acha1249	WATER	# t
acha1249	EAR	# n + ʈʂʰ
acha1249	SLEEP	
acha1249	SEE	n + m ʐ ŋ
acha1249	DRINK	# ʂ ʔ
acha1249	I	# ŋ
acha1249	YELLOW	# l ŋ
acha1249	NOSE	# n̥ʲ ŋ
acha1249	BIRD	# m̥ ʔ
acha1249	NAME	 + nʲ ŋ
acha1249	RED	# n
acha1249	SEED	 + nʲ
acha1249	WHITE	# pʰ ʐ
acha1249	STAR	# kʰ ʐ
acha1249	WALK	# s
acha1249	TOOTH	# tɕ
acha1249	HAIR	 + m
acha1249	NEW	# ʂ k
acha1249	GREEN	# nʲ
acha1249	CLOUD	# x n + tɕ n
acha1249	HEAD	# n + k ŋ
acha1249	DOG	# x
acha1249	COLD	# k ʐ t
acha1249	SMALL	# nʲ
acha1249	MOON	# pʰ + l ʔ
acha1249	WOMAN	 + nʲ
acha1249	HORN (ANATOMY)	# kʰ ʐ
acha1249	BELLY	m + t
acha1249	ROOT	# m ʐ t
acha1249	FOOT	# tɕʰ
acha1249	LONG	# s ŋ
acha1249	THAT	# tʰ
acha1249	WHAT	# p + s
acha1249	THOU	# n ŋ
acha1249	FLY (MOVE THROUGH AIR)	# ʈʂ m
acha1249	TONGUE	# ɕ
acha1249	BLOOD	# s
acha1249	TWO	# s k
acha1249	SKIN	 + ʐ
acha1249	HEAR	# k ʐ
acha1249	EARTH (SOIL)	# m
acha1249	MANY	# nʲ
acha1249	MOUTH	# n̥ʲ t
acha1249	WHO	# x
acha1249	DRY	# s ʔ
acha1249	GIVE	# ts
acha1249	COME	# ʐ
acha1249	STONE	# l ŋ k ʔ
acha1249	LOUSE	# ʂ n
acha1249	STAND	# ʑ p
acha1249	FIRE	# p
acha1249	KILL	# s t
acha1249	FEATHER	 + m
acha1249	ONE	# t
acha1249	EAT	# tɕ
acha1249	BITE	# p n
acha1249	BIG	# k ʐ
acha1249	BONE	ʐ
acha1249	NECK	# l ŋ + ts ŋ
acha1249	ROAD	# x + m ʐ
acha1249	ROUND	# l m
acha1249	LEAF	 + x ʐ ʔ
acha1249	FULL	# p ʐ ŋ
acha1249	EGG	ʔ
acha1249	ALL	# p ʐ + p ʐ
acha1249	SAND	# s + l
acha1249	TREE	# s ŋ + ts ŋ
acha1249	DIE	# ʂ
acha1249	SUN	# n + m
acha1249	SMOKE (EXHAUST)	# n + x
acha1249	HAND	# l ʔ
acha1249	HEART	# n̥ʲ + l m
acha1249	GOOD	# tɕ
acha1249	THIS	# x
acha1249	LIVER	 + ʂ ŋ
amdo1237	STAR	# r k r + m
amdo1237	SUN	# ȵ + m
amdo1237	BIG	# tɕʰ
amdo1237	WHO	# s
amdo1237	TWO	# ɣ ȵ
amdo1237	LOUSE	# x k $
amdo1237	EGG	# w ɕ r + r g ŋ $
amdo1237	TREE	# ɣ d ŋ + ŋ
amdo1237	MOON	# r dz
amdo1237	HAIR	# r
amdo1237	DRINK	# tʰ ŋ $
amdo1237	SMALL	# tɕʰ ŋ $
amdo1237	SEED	# s + w n $
amdo1237	STAND	# l ŋ $
amdo1237	I	# ŋ
amdo1237	MOUTH	# kʰ
amdo1237	NECK	# r k
amdo1237	THAT	# k n + n
amdo1237	WATER	# tɕʰ
amdo1237	NOSE	# r n̥
amdo1237	ROAD	# l m $
amdo1237	MANY	# m ŋ + ŋ
amdo1237	BELLY	# h
amdo1237	THIS	# n d
amdo1237	GIVE	# w ɕ n $
amdo1237	SLEEP	# ȵ
amdo1237	KNEE	# w + n g
amdo1237	FEATHER	# r dʑ
amdo1237	BIRD	# w ɕ
amdo1237	FLY (MOVE THROUGH AIR)	# m p r $
amdo1237	GREEN	# r dʑ ŋ + kʰ
amdo1237	ALL	# tsʰ ŋ + m
amdo1237	HEART	# r ŋ $
amdo1237	SMOKE (EXHAUST)	# t
amdo1237	DIE	# xʰ
amdo1237	FEATHER	# w ɕ + r p
amdo1237	ROOT	# ɣ ts + p
amdo1237	RED	# ɣ m + r
amdo1237	COLD	# n k $
amdo1237	STONE	# r d
amdo1237	GIVE	# r t r $
amdo1237	FOOT	# r k ŋ + ŋ
amdo1237	HEAD	# n g
amdo1237	HAND	# l k + k w
amdo1237	BITE	# w + w d + w ɟ j p $
amdo1237	WHAT	# tɕʰ + z k $
amdo1237	COME	# xʰ k $
amdo1237	HEAR	# k
amdo1237	BONE	# r + p
amdo1237	EARTH (SOIL)	# sʰ
amdo1237	DRY	# r k m + b
amdo1237	EYE	# ɣ ȵ k $
amdo1237	THOU	
amdo1237	EAR	# r n
amdo1237	TAIL	# r ŋ + m
amdo1237	ONE	# ɣ k $
amdo1237	COME	# j ŋ $
amdo1237	FIRE	# m ȵ
amdo1237	FULL	# k ŋ $
amdo1237	TOOTH	# sʰ
amdo1237	BLACK	# n k + k
amdo1237	WALK	# n ɟ j
amdo1237	EAT	# s
amdo1237	NAME	# ȵ ŋ + ŋ
amdo1237	TONGUE	# r tɕ
amdo1237	KILL	# p s t $
amdo1237	MOUNTAIN	# r
amdo1237	ROUND	# k r + r k r $
amdo1237	NEW	# sʰ + m
amdo1237	GOOD	# j k + k
amdo1237	LIVER	# n tɕ n + b
amdo1237	SEE	# r k $
amdo1237	CLOUD	# w ʈʂ n $
amdo1237	BLOOD	k $
amdo1237	HORN (ANATOMY)	# r + tɕʰ
amdo1237	LEAF	# l + m
amdo1237	WOMAN	# w + m ȵ t $
amdo1237	SAND	# w ɕ + m
amdo1237	YELLOW	# s r + r
amdo1237	DOG	# tɕʰ + ɣ
amdo1237	KNOW (SOMETHING)	# xʰ
amdo1237	BREAST	# n + m
amdo1237	FISH	# ȵ
amdo1237	LONG	# r ŋ + k
amdo1237	WHITE	# k + r
zaiw1241	TREE	# s k
zaiw1241	NOSE	# n
zaiw1241	YELLOW	# x
zaiw1241	WATER	# v
zaiw1241	KNEE	# kʰ j + pʰ t
zaiw1241	BIRD	# ŋ ʔ
zaiw1241	FEATHER	# ʃ + m
zaiw1241	THAT	# x j
zaiw1241	ROOT	 + p n
zaiw1241	MOON	# l + m
zaiw1241	GIVE	# p j
zaiw1241	WHO	
zaiw1241	SMALL	# t ʔ
zaiw1241	FISH	# ŋ + ts
zaiw1241	SMOKE (EXHAUST)	# m j + kʰ
zaiw1241	DRY	# x
zaiw1241	FOOT	# kʰ j
zaiw1241	THIS	# x j
zaiw1241	KILL	# s t
zaiw1241	HEART	# n k + l m
zaiw1241	BLACK	# n ʔ
zaiw1241	ALL	# l ŋ + l ŋ
zaiw1241	STAND	# j p
zaiw1241	THOU	# n ŋ
zaiw1241	COME	# l
zaiw1241	TAIL	# ʃ + m j
zaiw1241	BLOOD	# s
zaiw1241	DRINK	# ʃ ʔ
zaiw1241	SAND	# s + m
zaiw1241	BIG	# k
zaiw1241	HEAR	# v + k j
zaiw1241	WOMAN	# m j + v
zaiw1241	MANY	# m j
zaiw1241	EARTH (SOIL)	# m j + ts
zaiw1241	LOUSE	# ʃ n
zaiw1241	HORN (ANATOMY)	# kʰ j
zaiw1241	BONE	# ʃ + v
zaiw1241	FULL	# p j ŋ
zaiw1241	FLY (MOVE THROUGH AIR)	# t ŋ
zaiw1241	LEAF	 + x ʔ
zaiw1241	NEW	 + s k
zaiw1241	COLD	# k j ʔ
zaiw1241	ONE	# l
zaiw1241	WALK	# s
zaiw1241	EAT	# ts
zaiw1241	CLOUD	# m t + m
zaiw1241	SUN	# p
zaiw1241	NECK	# l ŋ + ts ŋ
zaiw1241	DOG	# kʰ
zaiw1241	LEAF	 + x ʔ
zaiw1241	WHITE	# pʰ j
zaiw1241	MOUNTAIN	# p m
zaiw1241	EYE	# m j ʔ + tʃ
zaiw1241	BREAST	# n
zaiw1241	I	# ŋ
zaiw1241	HAIR	 + tsʰ m
zaiw1241	LIVER	# s ŋ
zaiw1241	ROAD	# kʰ j
zaiw1241	NAME	# m j ŋ
zaiw1241	BELLY	# v m
zaiw1241	HAND	# l ʔ
zaiw1241	BITE	# ŋ t
zaiw1241	RED	# n
zaiw1241	MOUTH	# n t
zaiw1241	TOOTH	# ts
zaiw1241	GOOD	# k
zaiw1241	SEE	# m j ŋ
zaiw1241	SLEEP	# j p
zaiw1241	WHAT	# x
zaiw1241	TONGUE	# ʃ
zaiw1241	STONE	# l ʔ k k
zaiw1241	GREEN	# ŋ j
zaiw1241	HEAD	 + l m
zaiw1241	ROUND	# l ŋ
zaiw1241	TWO	
zaiw1241	EGG	 + 
zaiw1241	SKIN	# ʃ + k ʔ
zaiw1241	SEED	 + m j
zaiw1241	DIE	# ʃ
zaiw1241	LONG	# x ŋ
zaiw1241	EAR	# n + pʰ j
zaiw1241	FIRE	# m j
zaiw1241	STAR	# k j
bahi1252	TREE	# d k s
bahi1252	WHITE	# b b
bahi1252	KNEE	# p k ts
bahi1252	BLOOD	# h s
bahi1252	ROOT	# s ŋ g r
bahi1252	WATER	# ʔ b k
bahi1252	WHO	# s
bahi1252	STAND	# r p s $
bahi1252	LIVER	# d ŋ $
bahi1252	FISH	# ŋ
bahi1252	HORN (ANATOMY)	# g r
bahi1252	FIRE	# b p m
bahi1252	NEW	# n n t
bahi1252	WALK	# g k $
bahi1252	FLY (MOVE THROUGH AIR)	# b r $
bahi1252	GIVE	# g
bahi1252	LOUSE	# r ŋ $
bahi1252	THOU	# g
bahi1252	KNOW (SOMETHING)	# t t
bahi1252	HAND	# g
bahi1252	SLEEP	p $
bahi1252	TOOTH	# kʰ l
bahi1252	TREE	# dʱ k s
bahi1252	SKIN	# k k t
bahi1252	MOUNTAIN	# k ŋ k
bahi1252	LEAF	# s pʰ
bahi1252	NOSE	# n
bahi1252	EARTH (SOIL)	# kʰ p
bahi1252	BLACK	# k k
bahi1252	MOUTH	# s
bahi1252	FOOT	# kʰ l
bahi1252	ONE	# k ŋ $
bahi1252	DRY	# d ŋ $
bahi1252	EAT	# d z
bahi1252	TONGUE	# l m $
bahi1252	NAME	# n ŋ $
bahi1252	TAIL	# m r
bahi1252	BELLY	# k d z
bahi1252	SLEEP	# g l s $
bahi1252	CLOUD	# k k s l $
bahi1252	LONG	# dzʱ
bahi1252	EAR	# n g ts
bahi1252	SMALL	ts
bahi1252	HEAD	# p j
bahi1252	HEART	# tʰ m s ts
bahi1252	COLD	# d z m
bahi1252	KILL	# s t $
bahi1252	RED	# l l
bahi1252	HAIR	# ts m $
bahi1252	DIE	# b k $
bahi1252	DOG	# kʰ l ts
bahi1252	HEAR	# ŋ n $
bahi1252	NECK	# l p s
bahi1252	EAR	# s m n
bahi1252	COME	# r
bahi1252	NECK	# s r
bahi1252	GREEN	# g g
bahi1252	SMOKE (EXHAUST)	# k n
bahi1252	STAR	# s r $
bahi1252	BONE	# r s
bahi1252	DIE	# h t
bahi1252	FIRE	# m
bahi1252	GOOD	# r m $
bahi1252	TWO	# n k s
bahi1252	YELLOW	m + m $
bahi1252	BITE	# k r t $
bahi1252	STAND	# r p $
bahi1252	I	# g
bahi1252	STONE	# l ŋ $
bahi1252	SUN	# n m $
bahi1252	SEED	# w ts r $
bahi1252	EYE	# m ts
bahi1252	ROAD	# l m $
bahi1252	BIG	 + ŋ l
bahi1252	BIRD	# ts k ʔ b
bahi1252	FEATHER	# pʰ l m $
bahi1252	EGG	# ʔ b d
bahi1252	DRY	# s
bahi1252	WOMAN	# m n ts
bant1281	I	ŋ k
bant1281	LIVER	# l ŋ m k $
bant1281	HEAD	# t ŋ $
bant1281	BITE	# ŋ k $
bant1281	SEE	# ts p $
bant1281	NEW	# n ŋ w
bant1281	ROAD	# l m $
bant1281	NAME	# n ŋ $
bant1281	STAR	# s ŋ k n $
bant1281	MOUNTAIN	# ts m ts r
bant1281	ONE	k $
bant1281	BELLY	# b k $
bant1281	TOOTH	# k ŋ $
bant1281	KILL	# s t $
bant1281	HAND	# tsʰ k + k
bant1281	BLACK	# m k w
bant1281	WHAT	# d
bant1281	TREE	# s ŋ $
bant1281	WHAT	d
bant1281	KNEE	# t m p tsʰ k $
bant1281	THIS	k
bant1281	NOSE	# n b
bant1281	EARTH (SOIL)	# h n kʰ m
bant1281	FULL	# bʱ p l
bant1281	BONE	# j w
bant1281	SMOKE (EXHAUST)	# t ŋ kʰ
bant1281	LEAF	# k s
bant1281	SKIN	# h k w
bant1281	HAIR	# t ŋ m w
bant1281	SAND	# b kʰ
bant1281	WHITE	m $
bant1281	BIG	dʱ w ŋ $
bant1281	ALL	# dz m j $
bant1281	LONG	k w ŋ $
bant1281	BLOOD	# h
bant1281	EARTH (SOIL)	# b kʰ
bant1281	FIRE	# m r
bant1281	NECK	# p t $
bant1281	EAR	# n b k $
bant1281	SEED	# l w
bant1281	DIE	# s
bant1281	ROUND	# b m k
bant1281	EAT	# ts
bant1281	DRY	# tsʰ p $
bant1281	BREAST	# d d
bant1281	THOU	# kʰ n
bant1281	LOUSE	# s t $
bant1281	ROOT	# bʱ n $
bant1281	TONGUE	# l m $
bant1281	TWO	# h w
bant1281	SUN	# n m $
bant1281	HEAR	n $
bant1281	GIVE	# p
bant1281	EGG	# d n $
bant1281	MANY	# ts l k $
bant1281	DRINK	# d ŋ $
bant1281	COME	# b n $
bant1281	BIRD	# tsʰ ŋ w
bant1281	FISH	# ŋ
bant1281	FLY (MOVE THROUGH AIR)	# p r $
bant1281	FOOT	# l ŋ k b k $
bant1281	DRINK	# h p t $
bant1281	SLEEP	m s $
bant1281	TAIL	# m r
bant1281	CLOUD	# tʰ k r
bant1281	GOOD	# n w k $
bant1281	SMALL	# ts t k
bant1281	EYE	# m k $
bant1281	WOMAN	# m
bant1281	KNOW (SOMETHING)	# s n t $
bant1281	STAND	p $
bant1281	WHO	# s ŋ $
bant1281	MOON	# l d p $
bant1281	COLD	# k ŋ $
bant1281	STONE	# l ŋ $
bant1281	DOG	# k t w
bant1281	THAT	# m
bant1281	MOUTH	# d
bant1281	WALK	# b t t $
bant1281	WATER	# ts k w
bant1281	FEATHER	# m w
bant1281	HEART	# ts w
kham1282	FISH	# ȵ
kham1282	NECK	# k
kham1282	LEAF	# l + m
kham1282	TAIL	# ŋ + m
kham1282	BREAST	# ȵ + ȵ ʔ
kham1282	MOUNTAIN	# ʐ
kham1282	ROOT	# ⁿɖʐ ʔ
kham1282	EAR	# n + j
kham1282	COME	# ʔ
kham1282	EGG	# g + ŋ ʔ
kham1282	BIRD	# ɕ
kham1282	HEAD	# ŋ g
kham1282	TWO	# ȵ
kham1282	ONE	# tɕ ʔ
kham1282	ROAD	# l
kham1282	WHITE	# k + k
kham1282	WALK	# tɕʰ
kham1282	SEE	# r ʔ
kham1282	STONE	# d
kham1282	BONE	# ʐ + p
kham1282	COME	# xʰ ʔ
