Glottocode	Concepticon_Gloss	cons
nort2697	BIG	# b j k $
nort2697	SMOKE (EXHAUST)	# t s t
nort2697	BARK	# ɢ b ɢ $
nort2697	BLOOD	# ɢ n $
nort2697	MANY	χ $
nort2697	COLD	# s j ɢ $
nort2697	NIGHT	# k
nort2697	THOU	# s n $
nort2697	I	# m n $
nort2697	BONE	# s m k $
nort2697	ASH	# k l $
nort2697	TREE	ɣ
nort2697	HEART	r k $
nort2697	EARTH (SOIL)	# t r p ɢ $
nort2697	FULL	# d l
nort2697	FISH	# b l ɢ $
nort2697	EARTH (SOIL)	# j r $
nort2697	THAT	
nort2697	EGG	# j m r t
nort2697	STAND	# d r $
nort2697	TWO	k
nort2697	GIVE	# v r $
nort2697	YELLOW	# s r
nort2697	LONG	z n $
nort2697	DRINK	tɕ $
nort2697	BREAST	# d ʃ $
nort2697	HEAR	ʃ t $
nort2697	CLOUD	# b l t $
nort2697	NECK	# b j n $
nort2697	HORN (ANATOMY)	# b j n z $
nort2697	DRY	# ɢ r
nort2697	EYE	# k z $
nort2697	SUN	# gʲ n ʃ $
nort2697	SWIM	z $
nort2697	SUN	# gʲ n $
nort2697	NEW	# j n
nort2697	MOON	j $
nort2697	GOOD	# j χ ʃ
nort2697	NOT	# m
nort2697	TAIL	# ɢ j r ɢ $
nort2697	SEE	# gʲ r $
nort2697	LOUSE	# b t $
nort2697	WHITE	ɣ $
nort2697	KILL	l d r $
nort2697	KNEE	# d z $
nort2697	NAME	d $
nort2697	ROOT	# k k $
nort2697	GREEN	# j ʃ l $
nort2697	SMALL	# k tɕ k $
nort2697	WHO	# k m $
nort2697	SAY	# s j l
nort2697	WE	# b z $
nort2697	BURN	# j n $
nort2697	DOG	t $
nort2697	FAT (ORGANIC SUBSTANCE)	# j ɣ $
nort2697	EAT	# j
nort2697	WALK	# j r
nort2697	BLACK	# ɢ r
nort2697	ROUND	# j m r
nort2697	FEATHER	# l l k $
nort2697	SAY	# d
nort2697	LEAF	# j r p ɢ $
nort2697	BITE	# d ʃ l
nort2697	FIRE	d $
nort2697	KNOW (SOMETHING)	# b l $
nort2697	NOSE	# b r n $
nort2697	CLAW	j n ɢ $
nort2697	BIRD	# ɢ ʃ $
nort2697	WATER	# s
nort2697	EAR	# ɢ l ɢ $
nort2697	STONE	# d ʃ $
nort2697	BREAST	# k k s $
nort2697	WOMAN	# ɢ d n $
nort2697	TONGUE	# d l $
nort2697	MOUTH	ɣ z $
nort2697	BELLY	# ɢ r n $
nort2697	WHAT	# n
nort2697	WALK	# gʲ z $
nort2697	THIS	# b
nort2697	TOOTH	# d ʃ $
nort2697	SKIN	# d r
nort2697	FEATHER	# t k $
