Glottocode	Concepticon_Gloss	cons
acom1246	WATER	ts c
acom1246	LIVER	ʔ ʔ n + n
acom1246	EAR	s + p
acom1246	WOMAN	kʲ
acom1246	FOOT	k s d
acom1246	FISH	s kʲ + ʃ
acom1246	HORN (ANATOMY)	z ʈʂ
acom1246	NOSE	w + ʃ + n
acom1246	BITE	g + k
acom1246	YELLOW	kʲ tʃ n
acom1246	LIE (REST)	k ʔ z
acom1246	GIVE	z d
acom1246	STONE	k n
acom1246	FLY (MOVE THROUGH AIR)	ts + p
acom1246	HEART	w n s k
acom1246	DOG	d j
acom1246	SEED	g w c
acom1246	NOSE	ts + ʃ
acom1246	BELLY	k n k
acom1246	FEATHER	h + p
acom1246	HEAR	k k
acom1246	STAR	ʂ d + t
acom1246	SMOKE (EXHAUST)	g r r k
acom1246	DRINK	g s kʲ
acom1246	SEED	h + ʈʂ n
acom1246	HAND	w n s k
acom1246	NECK	g w + ʐ
acom1246	KILL	g m t c
acom1246	BREAST	g w ts
acom1246	NIGHT	n w
acom1246	GOOD	d w
acom1246	EAT	k p
acom1246	SUN	ʔ ʂ + ʈʂ
acom1246	SMALL	ʐ
acom1246	LEAF	m s + n
acom1246	NAME	ʔ + g
acom1246	NEW	n + c
acom1246	SAY	kʲ z
acom1246	CLOUD	h j t
acom1246	TWO	d + w
acom1246	EYE	h w n + n
acom1246	MOUTH	ts + kʲ
acom1246	BLOOD	m + ts
acom1246	KNOW (SOMETHING)	g n
acom1246	SAND	j ʔ
acom1246	WHITE	k ʃ + n
acom1246	TOOTH	h + k n
acom1246	GREEN	kʲ s k
acom1246	LOUSE	ʃ n
acom1246	KNEE	g ʔ ʃ
acom1246	FULL	g + tʲ
acom1246	DIE	k + s tʲ
acom1246	EGG	n + w + kʲ
acom1246	MOUNTAIN	kʲ t
acom1246	BONE	h + s k n
acom1246	FAT (ORGANIC SUBSTANCE)	ʔ ʂ tʲ
acom1246	BARK	ʔ + k n n
acom1246	CLAW	h + w + k n
acom1246	ASH	m + ʂ
acom1246	MOON	d + w + ʈʂ
acom1246	ROOT	w + w ʈʂ n
acom1246	GIVE	z ʔ
acom1246	EYE	kʲ + n
acom1246	ROUND	s kʲ d c
acom1246	BIRD	b + s b + n
acom1246	HAIR	h + ʐ n
acom1246	MAN	h ʈʂ c
acom1246	SEE	g + k tʃ
acom1246	ONE	ʔ s k
acom1246	TONGUE	w + tʃ n
acom1246	HEAD	g + n s k
poch1244	LOUSE	t m t
poch1244	HAND	m
poch1244	COME	w tʃ
poch1244	ALL	n tʃ
poch1244	NOSE	j k t
poch1244	NECK	k ʃ t
poch1244	DRY	w k
poch1244	WHO	k
poch1244	BLOOD	s t
poch1244	EAT	kʷ
