segment	POA	MOA	Voicing
p	labial	plosive	voiceless
b	labial	plosive	voiced
t̪	dental	plosive	voiceless
d̪	dental	plosive	voiced
t	alveolar	plosive	voiceless
d	alveolar	plosive	voiced
t̻	alveolar	plosive	voiceless
d̻	alveolar	plosive	voiced
ṭ	postalveolar	plosive	voiceless
ḍ	postalveolar	plosive	voiced
ʈ	retroflex	plosive	voiceless
ɖ	retroflex	plosive	voiced
ṯ	palatoalveolar	plosive	voiceless
ḏ	palatoalveolar	plosive	voiced
ṯʲ	prepalatal	plosive	voiceless
ḏʲ	prepalatal	plosive	voiced
c	palatal	plosive	voiceless
ɟ	palatal	plosive	voiced
k	velar	plosive	voiceless
g	velar	plosive	voiced
q	uvular	plosive	voiceless
ɢ	uvular	plosive	voiced
ɓ	labial	implosive	voiced
ɗ̪	dental	implosive	voiced
ɗ	alveolar	implosive	voiced
ɗ̣	postalveolar	implosive	voiced
ɗ̱	prepalatal	implosive	voiced
ʄ	palatal	implosive	voiced
ɠ	velar	implosive	voiced
ʛ	uvular	implosive	voiced
ɸ	labial	spirant	voiceless
β	labial	spirant	voiced
f	labiodental	spirant	voiceless
v	labiodental	spirant	voiced
θ	dental	spirant	voiceless
ð	dental	spirant	voiced
θ̱	alveolar	spirant	voiceless
ð̱	alveolar	spirant	voiced
ɹ̝	alveolar	spirant	voiced
ɻ̝	postalveolar	spirant	voiced
ɻ̝	retroflex	spirant	voiced
ɹ̝ʲ	palatoalveolar	spirant	voiced
ɹ̝ʲ	prepalatal	spirant	voiced
ç	palatal	spirant	voiceless
ʝ	palatal	spirant	voiced
x	velar	spirant	voiceless
ɣ	velar	spirant	voiced
χ	uvular	spirant	voiceless
ʁ	uvular	spirant	voiced
ħ	pharyngeal	spirant	voiceless
ʕ	pharyngeal	spirant	voiced
h	glottal	spirant	voiceless
ɦ	glottal	spirant	voiced
s̪	dental	sibilant	voiceless
z̪	dental	sibilant	voiced
s	alveolar	sibilant	voiceless
z	alveolar	sibilant	voiced
s̺	alveolar	sibilant	voiceless
z̺	alveolar	sibilant	voiced
ṣ	postalveolar	sibilant	voiceless
ẓ	postalveolar	sibilant	voiced
s̱	postalveolar	sibilant	voiceless
ẕ	postalveolar	sibilant	voiced
ʂ	retroflex	sibilant	voiceless
ʐ	retroflex	sibilant	voiced
ʆ	palatoalveolar	sibilant	voiceless
ʓ	palatoalveolar	sibilant	voiced
ʃ	palatoalveolar	sibilant	voiceless
ʒ	palatoalveolar	sibilant	voiced
ɕ	prepalatal	sibilant	voiceless
ʑ	prepalatal	sibilant	voiced
m	labial	nasal	voiced
ɱ	labiodental	nasal	voiced
n̪	labial	nasal	voiced
n	alveolar	nasal	voiced
ṇ	postalveolar	nasal	voiced
ɳ	retroflex	nasal	voiced
ṉ	palatoalveolar	nasal	voiced
ṉʲ	prepalatal	nasal	voiced
ɲ	palatal	nasal	voiced
ŋ	velar	nasal	voiced
N	uvular	nasal	voiced
l̪	dental	lateral	voiced
l	alveolar	lateral	voiced
ḷ	postalveolar	lateral	voiced
ɭ	retroflex	lateral	voiced
ḻ	palatoalveolar	lateral	voiced
ḻʲ	prepalatal	lateral	voiced
ʎ	palatal	lateral	voiced
ɾ̪	dental	flap/tap	voiced
ɾ	alveolar	flap/tap	voiced
ɺ	alveolar	flap/tap	voiced
ɾ̣	postalveolar	flap/tap	voiced
ɾ̣	retroflex	flap/tap	voiced
ɾ̱	palatoalveolar	flap/tap	voiced
ɾ̱ʲ	prepalatal	flap/tap	voiced
r̪	dental	trill	voiced
r	alveolar	trill	voiced
ṛ	postalveolar	trill	voiced
ɽ	retroflex	trill	voiced
ṟ	palatoalveolar	trill	voiced
ṟʲ	prepalatal	trill	voiced
ʀ	uvular	trill	voiced
ʍ	labial	approximant	voiceless
w	labial	approximant	voiced
ʋ	labiodental	approximant	voiced
ɹ	alveolar	approximant	voiced
ɹ̣	postalveolar	approximant	voiced
ɹ̱	palatoalveolar	approximant	voiced
ɹ̱ʲ	prepalatal	approximant	voiced
j	Palatal	approximant	voiced
ʁ̞	uvular	approximant	voiced
