family	lang	mean
Uto-Aztecan	acom1246	0.9293016885965606
Uto-Aztecan	poch1244	1.0191913400857553
Uto-Aztecan	tete1251	1.2890088114658
Uto-Aztecan	high1278	1.077597159170737
Uto-Aztecan	cahu1264	0.8019822451621093
Uto-Aztecan	chem1251	0.9349990122604112
Uto-Aztecan	clas1250	1.122362557257902
Uto-Aztecan	coah1252	0.9091113826578495
Uto-Aztecan	coma1245	0.8832120091384058
Uto-Aztecan	come1253	0.7250554950857863
Uto-Aztecan	elna1235	0.93995022839809
Uto-Aztecan	coto1248	0.9568944835308463
Uto-Aztecan	cupe1243	0.8485410779129047
Uto-Aztecan	eude1234	0.9907729586616985
Uto-Aztecan	tong1329	1.2291368896830617
Uto-Aztecan	huar1255	0.7449623623425945
Uto-Aztecan	hopi1249	0.9698062968611545
Uto-Aztecan	huic1243	0.9949766568777592
Uto-Aztecan	kara1289	0.8289583214060878
Uto-Aztecan	kawa1283	0.867962998014434
Uto-Aztecan	kiow1266	0.8845014713869023
Uto-Aztecan	kita1252	0.9013856956700406
Uto-Aztecan	luis1253	0.8823698595366661
Uto-Aztecan	mayo1264	0.8086175762093288
Uto-Aztecan	mono1275	0.9014469473523008
Uto-Aztecan	nort2954	0.9091973961613079
Uto-Aztecan	nort2959	1.1849462834018538
Uto-Aztecan	opat1246	1.1053302299573922
Uto-Aztecan	pana1305	0.8144313886557613
Uto-Aztecan	toho1245	1.060956038513063
Uto-Aztecan	pima1248	1.069346219783353
Uto-Aztecan	pipi1250	0.9852020128952332
Uto-Aztecan	kere1287	0.8894825320636289
Uto-Aztecan	sanj1276	0.9542875661280418
Uto-Aztecan	sant1426	0.9175131522090927
Uto-Aztecan	sant1425	0.8904881279901303
Uto-Aztecan	serr1255	1.0089566343130403
Uto-Aztecan	gosi1242	0.8848165562880624
Uto-Aztecan	sout2976	1.0051093801008688
Uto-Aztecan	sout2969	0.9617167896221759
Uto-Aztecan	utee1244	0.8269774208508541
Uto-Aztecan	cent2131	0.7396233289859713
Uto-Aztecan	tuba1279	0.8493431718401611
Uto-Aztecan	tuba1278	0.88635251760188
Uto-Aztecan	yaqu1251	0.8498092376676517
Uto-Aztecan	zuni1245	0.7300526860784712
Turkic	nort2697	0.8621959016841445
Turkic	bara1273	0.8863739388826174
Turkic	bash1264	0.8449644788944662
Turkic	chuv1255	0.7843644252490396
Turkic		0.9323286852852951
Turkic	crim1257	0.8769392605966252
Turkic	dolg1241	0.8625513885731125
Turkic	gaga1249	0.8559997044211767
Turkic	kara1465	0.8727546798680561
Turkic	kara1464	0.8161991014391109
Turkic	kara1467	0.8546016933317157
Turkic	kaza1248	0.7946296514661355
Turkic	khak1248	0.8284079282898834
Turkic	turk1303	0.8859476786935647
Turkic	kirg1245	0.8641590300778729
Turkic	kumy1244	0.8511673484648145
Turkic	midd1324	0.8715462187045865
Turkic	noga1249	0.7924006152291864
Turkic	nort2686	0.7977593035579805
Turkic	oldu1238	0.7730082081255277
Turkic	sala1264	0.9123460736996202
Turkic	west2402	0.8257653848417947
Turkic	shor1247	0.7769914032477557
Turkic	sout2694	0.8059545029412868
Turkic	midd1325	0.8681485877789088
Turkic	tofa1248	0.8033894187343154
Turkic	anat1259	0.7919972045334914
Turkic	turk1304	0.9113543597591374
Turkic	tuvi1240	0.8279462498176196
Turkic	uigh1240	0.8623497474243784
Turkic	uzbe1247	0.8387816159883241
Turkic	yaku1245	0.7941562492860048
Indo-European	nucl1235	0.8395563689597835
Indo-European	mait1250	0.922744074161875
Indo-European	bret1244	0.788180949357027
Indo-European	stan1289	0.8315652462467832
Indo-European	czec1258	0.882736047364703
Indo-European	dani1285	0.8743537246715012
Indo-European	dutc1256	0.7727863811513893
Indo-European	stan1293	0.8181471990629409
Indo-European	stan1290	0.8921662346927859
Indo-European	stan1295	0.8591315987696792
Indo-European	mode1248	0.8237537837482525
Indo-European	ital1282	0.9005694833806321
Indo-European	mara1378	0.9186830479552606
Indo-European	oriy1255	0.8875276147495315
Indo-European	poli1260	0.8845185771612488
Indo-European	port1283	0.8591364811989192
Indo-European	russ1263	0.8659653831225936
Indo-European	stan1288	0.7913663372393296
Indo-European	swed1254	0.8231646649777639
Indo-European	urdu1245	0.8975102509527736
Dravidian	bada1257	0.8779626183700079
Dravidian	bett1235	0.7663929329062131
Dravidian	brah1256	0.9419180131769997
Dravidian	nort2702	0.8629757916847076
Dravidian	nucl1305	0.8703690365704931
Dravidian	koda1255	0.9177654198163269
Dravidian	nort2699	0.9121904973522472
Dravidian	kota1263	0.8731367929211923
Dravidian	koya1251	0.8382377991563695
Dravidian	kuru1302	1.008190705966808
Dravidian	kuvi1243	0.9493362452263188
Dravidian	mala1464	0.8699226961770964
Dravidian	saur1249	1.0147857456399259
Dravidian	pott1240	0.9503214368473806
Dravidian	duru1236	0.8333722437652539
Dravidian	tami1289	0.8935357967760601
Dravidian	telu1262	0.9557672761545913
Dravidian	toda1252	0.8441397440625161
Dravidian	tulu1258	0.8525544293128016
