BodicTshangla	Tshangla	
BurmishBola	Bola	Bola (Luxi)
BurmishOldBurmese	Written Burmese	Burmese (Written)
ChepangChepang	Chepang	Chepang
DengYidu	Yidu	Yidu
Karbi	Karbi	Mikir [Karbi]
KirantiBantawa	Bantawa	Bantawa
KirantiKulung	Kulung	Kulung
LoloishLisu	Lisu	Lisu (Northern)
NungicDulong	Dulong	Dulong
SiniticBeijing		
SiniticJieyang		
SiniticXingning		
TibetanAlike	Alike	Tibetan (Alike)
TibetanOldTibetan	Tibetan (Written)	Tibetan (Written)
TibetoKinauriByangsi	Byangsi	Byangsi
rGyalrongJaphug	Japhug	rGyalrong (Maerkang Japhug Shaerzong (B))
BurmishAchang	Achang	Achang (Longchuan)
BurmishLashi	Lashi	Lashi
BurmishRangoon	Rangoon	Burmese (Rangoon)
ChinHakha	Hakha	Lai (Hakha)
GaroGaro	Garo	Garo (Bangladesh)
KhroskyabsWobzi	Wobzi	rGyalrong (Jinchuan Guaninqiao Wobzi)
KirantiHayu	Hayu	Hayu
KirantiLimbu	Limbu	Limbu
MizoLushai	Lushai	Lushai [Mizo]
QiangicZhaba	Zhaba	Zhaba (Daofu County)
SiniticChaozhou	Chaozhou	
SiniticLonggang	Longgang	
Tangut	Tangut	Tangut [Xixia]
TibetanBatang	Batang	Tibetan (Batang)
TibetanXiahe	Xiahe	Tibetan (Xiahe)
TibetoKinauriRongpo	Rongpo	Rongpo
rGyalrongMaerkang	Maerkang	rGyalrong (Maerkang)
BurmishAtsi	Atsi	Atsi [Zaiwa]
BurmishMaru	Maru	Maru [Langsu]
BurmishXiandao	Xiandao	Achang (Xiandao)
DengDarangTaraon	Taraon	Darang [Taraon]
JingphoJingpho	Jingpho	Jingpho
KirantiBahing	Bahing	Bahing
KirantiKhaling	Khaling	Khaling
KirantiThulung	Thulung	Thulung
NagaUkhrul	Ukhrul	Ukhrul
Rabha	Rabha	Rabha
SiniticGuangzhou	Guangzhou	
SiniticOldChinese	Old Chinese	Chinese (Old)
TaniBokar	Bokar	Bokar
TibetanLhasa	Lhasa	Tibetan (Lhasa)
TibetoKinauriBunan	Bunan	Bunan
rGyalrongDaofu	Daofu	Daofu
