lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
431188				(bja de) gso	raise (chickens)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1750.01	6.7.7	Up, etc.	0
416030				(bja skad) rgjag	crow (of cocks)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1426.01	2.2.4.1	Particular birds	0
416078				(bja skad) rgjag	crow (of hens)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1427.01	2.2.4.1	Particular birds	0
431018				(bja) gtɕod	castrate (cocks)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1746.01	1.9.2.3	Castrate	0
416171				(boŋ bu) ŋar	bray	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1429.01	8.5.4.1	Loud	0
428136	288,5364,m			(braŋ khog) ldir	throw out (one's chest)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1684.01	6.12	Throwing	0
429400				(dbugs) ɦdʑib	inhale	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1711.01	1.1.2.2	Breath/Breathe	0
427614				(doŋ) ɦgeŋ	fill up (a hollow)	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1673.01	6.11	Digging, excavation	0
415978				(dpe tɕha) khrid	teach	v.	1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1425.01	6.19	Social action	0
400055				(dri ma) ŋan pa	stinking / smelly		1804	Tibetan (Written)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1070.01	7.1.4.5	Smell	0
