lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
600151				ba	final particle		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	735			0
600152				ba {[b](r)a}	this, that		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	736			0
600196				ba-s {[b](r)a-s}	attached	be v.	2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	780			0
600194				bak	bind	v.	2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	778			0
600071				ban {[b]a[n]}	troubled		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	655			0
600072				bar {[b]ar}	burn, roast		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	656			0
600073				bar {[b]ar}	luxuriant (growth); flourishing		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	657			0
600074				bar {[b]ar}	abundant, numerous		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	658			0
600063				bat {[b][a]t}	punish		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	647			0
600091				baŋ	bream		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	675			0
600184				baʔ {[b](r)aʔ}	help		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	768			0
601504				bek {[b]ek}	beat the breast		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	2088			0
599510				bek-s {[b]ek-s}	avoid		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	94			0
601512				ben {[b]e[n]}	glib-tongued		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	2096			0
599553				ben-s {[b]e[n]-s}	comfortable; advantageous		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	137			0
599514				bet-s {[b]et-s}	offering of silk		2210	Chinese (Old)	53	9.0.1	Old Chinese	BaxterSagart 2011	WHBLS-2011	98			0
